Title,URL,Type,Category,Tags,Published,Inbound internal links,Outbound internal links,Outbound external links
"Aut dolores eaque nam soluta est",/link-whisper-test-site/sv/aut-dolores-eaque-nam-soluta-est/,Post,"Uncategorized","Svenska","January 22, 2021",0,4,9
"Vel iure eius eius sit quo ipsum",/link-whisper-test-site/sv/vel-iure-eius-eius-sit-quo-ipsum/,Post,"Uncategorized","Svenska","January 22, 2021",0,5,12
"Beatae consequatur labore suscipit non",/link-whisper-test-site/beatae-consequatur-labore-suscipit-non/,Post,"Uncategorized","English","January 22, 2021",0,8,6
"Asperiores tempore in eos corrupti rerum explicabo",/link-whisper-test-site/asperiores-tempore-in-eos-corrupti-rerum-explicabo/,Post,"Uncategorized","English","January 22, 2021",0,4,5
"Asperiores tempore in eos corrupti rerum explicabo. (copied from English)",/link-whisper-test-site/asperiores-tempore-in-eos-corrupti-rerum-explicabo/,Post,"Uncategorized",,"January 22, 2021",0,4,7
"Id repellendus magni recusandae in",/link-whisper-test-site/id-repellendus-magni-recusandae-in/,Post,"Uncategorized","English","January 22, 2021",0,4,16
"Possimus tempora qui quibusdam",/link-whisper-test-site/possimus-tempora-qui-quibusdam/,Post,"Uncategorized","English","January 22, 2021",0,6,20
"Veniam et quod perspiciatis omnis omnis",/link-whisper-test-site/veniam-et-quod-perspiciatis-omnis-omnis/,Post,"Uncategorized","English","January 22, 2021",0,4,15
"Fugit natus ut dolores",/link-whisper-test-site/fugit-natus-ut-dolores/,Post,"Uncategorized","English","January 22, 2021",0,13,16
"Recusandae sint nihil ea qui aspernatur",/link-whisper-test-site/recusandae-sint-nihil-ea-qui-aspernatur/,Post,"Uncategorized","English","January 22, 2021",0,5,8
"Eum aut harum voluptate",/link-whisper-test-site/eum-aut-harum-voluptate/,Post,"Uncategorized","English","January 22, 2021",0,3,8
"Et et tempora vel nam velit",/link-whisper-test-site/et-et-tempora-vel-nam-velit/,Post,"Uncategorized","English","January 22, 2021",0,5,1
"Corporis ut debitis architecto",/link-whisper-test-site/corporis-ut-debitis-architecto/,Post,"Uncategorized","English","January 22, 2021",0,3,4
"Magnam eum dignissimos tenetur vero harum",/link-whisper-test-site/magnam-eum-dignissimos-tenetur-vero-harum/,Post,"Uncategorized","English","January 22, 2021",0,6,3
"Suscipit ut qui rerum ut ratione accusantium",/link-whisper-test-site/suscipit-ut-qui-rerum-ut-ratione-accusantium/,Post,"Uncategorized","Consequatur quam consequatur et possimus dolore, English, testing 1, testing 2","January 22, 2021",0,5,20
"Aut ullam et veniam est molestias quis",/link-whisper-test-site/aut-ullam-et-veniam-est-molestias-quis/,Post,"Uncategorized","English","January 22, 2021",0,9,2
"Et facilis voluptatem omnis qui ut",/link-whisper-test-site/et-facilis-voluptatem-omnis-qui-ut/,Post,"Uncategorized","English","January 22, 2021",0,6,2
"Ad et eum nisi sapiente quia placeat",/link-whisper-test-site/ad-et-eum-nisi-sapiente-quia-placeat/,Post,"Uncategorized","English","January 22, 2021",0,5,9
"Ipsam numquam est dolore cumque aut ad",/link-whisper-test-site/ipsam-numquam-est-dolore-cumque-aut-ad/,Post,"Uncategorized","English","January 22, 2021",0,8,18
"Rem non illo nesciunt error et",/link-whisper-test-site/rem-non-illo-nesciunt-error-et/,Post,"Uncategorized","English","January 22, 2021",0,6,14
"Quo et similique ut eveniet et",/link-whisper-test-site/quo-et-similique-ut-eveniet-et/,Post,"Uncategorized","English","January 22, 2021",0,7,17
"Sint debitis ea dolor sed recusandae voluptatem",/link-whisper-test-site/sint-debitis-ea-dolor-sed-recusandae-voluptatem/,Post,"Uncategorized","English","January 22, 2021",0,5,4
"Deserunt aut ea ipsum consectetur suscipit",/link-whisper-test-site/deserunt-aut-ea-ipsum-consectetur-suscipit/,Post,"Uncategorized","English","January 22, 2021",0,5,11
"Consequatur non magnam sit minus",/link-whisper-test-site/consequatur-non-magnam-sit-minus/,Post,"Uncategorized","English","January 22, 2021",0,5,22
"Sit nemo modi est quos sed qui",/link-whisper-test-site/sit-nemo-modi-est-quos-sed-qui/,Post,"Uncategorized","English","January 22, 2021",0,4,15
"Sequi animi aut cupiditate libero quae",/link-whisper-test-site/sequi-animi-aut-cupiditate-libero-quae/,Post,"Uncategorized","English, testing 1, testing 2, testing tag","January 22, 2021",0,6,11
"Minus occaecati velit impedit",/link-whisper-test-site/minus-occaecati-velit-impedit/,Post,"Uncategorized","English","January 22, 2021",0,6,5
"Tenetur sit fugiat praesentium a velit",/link-whisper-test-site/tenetur-sit-fugiat-praesentium-a-velit/,Post,"Uncategorized",", English","January 22, 2021",0,6,3
"Animi quam dolorem facere quos",/link-whisper-test-site/animi-quam-dolorem-facere-quos/,Post,"Uncategorized","English","January 22, 2021",0,7,18
"Accusantium perspiciatis voluptate minima occaecati",/link-whisper-test-site/accusantium-perspiciatis-voluptate-minima-occaecati/,Post,"Uncategorized","English","January 22, 2021",0,3,8
"Laboriosam est voluptates autem sint",/link-whisper-test-site/laboriosam-est-voluptates-autem-sint/,Post,"Uncategorized","English","January 22, 2021",0,6,10
"Quis numquam occaecati commodi",/link-whisper-test-site/quis-numquam-occaecati-commodi/,Post,"Uncategorized","Consequatur quam consequatur et possimus dolore, , English","January 22, 2021",0,3,4
"Quia rerum omnis sit voluptatem et",/link-whisper-test-site/quia-rerum-omnis-sit-voluptatem/,Post,"Bez kategorii, Sint omnis ut a asperiores, Suscipit ut voluptates expedita aperiam rerum laudantium, Uncategorized","Consequatur quam consequatur et possimus dolore, English","January 22, 2021",0,35,4
"Rem nemo aperiam quo eaque",/link-whisper-test-site/rem-nemo-aperiam-quo-eaque/,Post,"Uncategorized","English","January 22, 2021",0,7,18
"Hello world!",/link-whisper-test-site/hello-world/,Post,"Uncategorized","English","January 23, 2021",0,8,6
"Types of Biofuel",/link-whisper-test-site/types-of-biofuel/,Post,"Uncategorized","English","January 26, 2021",0,0,0
"Post for testing affiliate link cloaking",/link-whisper-test-site/post-for-testing-affiliate-link-cloaking/,Post,"Uncategorized","English","February 08, 2021",3,2,1
"Covid-19 lockdown test post 4",/link-whisper-test-site/covid-19-lockdown-test-post-4/,Post,"Uncategorized","English","February 08, 2021",0,1,0
"Covid-19 lockdown test post 3 Testinggg",/link-whisper-test-site/covid-19-lockdown-test-post-3/,Post,"Uncategorized","English","February 08, 2021",0,1,0
"Covid-19 lockdown test post 2",/link-whisper-test-site/covid-19-lockdown-test-post-2/,Post,"Uncategorized","English","February 08, 2021",0,1,2
"Covid-19 lockdown test post 1",/link-whisper-test-site/covid-19-lockdown-test-post-1/,Post,"Uncategorized","English","February 08, 2021",0,2,0
"Nisi aliquam consequuntur ex est quia amet Qui dolor qui temporibus placeat quis reiciendis perspiciatis. Saepe eius aut recusandae minima. Impedit consequatur voluptatibus amet necessitatibus atque corrupti. Et sint dicta et quaerat rerum. Maxime et vitae accusantium accusamus cumque. Fugiat voluptatem ab odio vel totam enim culpa. Amet quo rerum unde quia vitae. Illo perspiciatis repellat voluptas. Beatae optio porro et et aut minus est tempora. Voluptas qui alias voluptatibus esse officia. Sed asperiores delectus est explicabo dolores. Et consequatur magnam debitis commodi. Dolorum omnis dolore consequatur ab quibusdam. Possimus et magni exercitationem dolores numquam veritatis assumenda sed.",/link-whisper-test-site/nisi-aliquam-consequuntur-ex-est-quia-amet/,Post,"Sint omnis ut a asperiores, Suscipit ut voluptates expedita aperiam rerum laudantium, Uncategorized","English, Ipsum suscipit odio laboriosam quidem sit fugit ut, testing tag","February 12, 2021",1,11,33
"Aut numquam minima nihil quisquam tenetur eius",/link-whisper-test-site/aut-numquam-minima-nihil-quisquam-tenetur-eius/,Post,"Sint omnis ut a asperiores","English, Facere tempora dolor cupiditate voluptate illum asperiores quia quis tempora amet iste quia quibusdam, Quae ullam aut ipsa ut aliquam dolorem ratione sint quisquam velit est earum voluptas sapiente et accusamus, Quia id et explicabo vel perspiciatis","February 12, 2021",0,9,34
"Voluptatem sequi deserunt nihil enim similique iure fuga",/link-whisper-test-site/voluptatem-sequi-deserunt-nihil-enim-similique-iure-fuga/,Post,"Sint omnis ut a asperiores, Suscipit ut voluptates expedita aperiam rerum laudantium, Uncategorized","Consequatur quam consequatur et possimus dolore, English, Facere tempora dolor cupiditate voluptate illum asperiores quia quis tempora amet iste quia quibusdam, Ipsum suscipit odio laboriosam quidem sit fugit ut, Quae ullam aut ipsa ut aliquam dolorem ratione sint quisquam velit est earum voluptas sapiente et accusamus","February 12, 2021",0,7,29
"Et et aliquid voluptatem",/link-whisper-test-site/et-et-aliquid-voluptatem/,Post,"Uncategorized","English","February 12, 2021",0,7,17
"Sint necessitatibus rem molestiae consequatur",/link-whisper-test-site/sint-necessitatibus-rem-molestiae-consequatur/,Post,"Uncategorized","English","February 12, 2021",0,9,23
"Čajka bielohlavá",/link-whisper-test-site/sk/cajka-bielohlava/,Post,"Uncategorized","Slovenčina","February 14, 2021",0,0,59
"Čajkovité",/link-whisper-test-site/sk/cajkovite/,Post,"Uncategorized","Slovenčina","February 14, 2021",0,2,311
"Kulíkotvaré",/link-whisper-test-site/sk/kulikotvare/,Post,"Uncategorized","Slovenčina","February 14, 2021",0,2,1
"Vtáky",/link-whisper-test-site/sk/vtaky/,Post,"Uncategorized","Slovenčina","February 14, 2021",0,2,3
"Vtáky sa po prvýkrát objavili počas obdobia jury. Pravdepodobne sa vyvinuli z operených dravých dinosaurov patriacich do skupiny Theropoda (spočiatku sa uvažovalo aj o ich thekodontnom pôvode) a rýchlo začali vytvárať nové formy. Od „nevtáčích“ dinosaurov vtáky odlišuje protistojný prst zadných končatín a pygostyl, kým ostatné znaky (kýlovitá hrudná kosť, perie, vzdušné vaky napojené na pľúca) nachádzame aj u rôznych dinosaurov. Dnes existuje podľa odhadov okolo 9 800[3] až 10 770[4] druhov vtákov, z fosílneho záznamu bolo popísaných ďalších 2000 druhov už vyhynutých foriem [5]. Vtáky sú charakteristické výskytom tráviacich enzýmov v ústnej dutine. Okrem nich túto vlastnosť majú len cicavce. Trieda sa delí na 2 podtriedy: pravtáky (už vyhynuté) a Vtáky pravé.",/link-whisper-test-site/sk/vtaky-sa-po-prvykrat-objavili-pocas-obdobia-jury-pravdepodobne-sa-vyvinuli-z-operenych-dravych-dinosaurov-patriacich-do-skupiny-theropoda-spociatku-sa-uvazovalo-aj-o-ich-thekodontnom-povode-a-rychl/,Post,"Uncategorized","Slovenčina","February 14, 2021",0,1,3
"Sú to menšie až stredne veľké vtáky. Majú štíhly a na okrajoch ostrý zobák. Dobre lietajú. Sú prispôsobené na rozmanité podmienky. Vyskytujú sa na celom svete vrátane Arktídy a Antarktídy a osídľujú rozmanité prostredia.",/link-whisper-test-site/sk/su-to-mensie-az-stredne-velke-vtaky-maju-stihly-a-na-okrajoch-ostry-zobak-dobre-lietaju-su-prisposobene-na-rozmanite-podmienky-vyskytuju-sa-na-celom-svete-vratane-arktidy-a-antarktidy-a-osidluju-r/,Post,"Uncategorized","Slovenčina","February 14, 2021",0,2,0
"Systematické členenie Neornithes (pravých vtákov) sa neustále menilo a aj dnes dochádza na základe najnovších vedeckých poznatkov k ďalším zmenám. Tu použitá systematika odráža súčasné poznanie o vzájomnej príbuznosti jednotlivých vtáčích taxónov a opiera sa predovšetkým o najnovšie publikované články týkajúce sa tejto témy. Ale medzi jednotlivými celosvetovými zoznamami vtákov naďalej pretrvávajú isté rozdiely v počte a usporiadaní radov, čeľadí i druhov. Počet druhov vtákov podľa podstatných súčasných celosvetových zoznamov ako napr. International Ornithological Congress World Bird List 2009 ([2]), Peterson 2010 ([3]), The Clements Checklist of Birds of the World 2009 ([4]), Taxonomy in Flux Checklist 2010 ([5]) sa dnes pohybuje niekde medzi 10 000 až 11 000. Koncom minulého storočia a na prelome 20. a 21. storočia boli zoznamy vtákov sveta o čosi menej početné a obsahovali približne 9 300 – 9 700 druhov. Tento vysoký nárast nespôsobujú novoobjavené druhy vtákov, ktorých je len niekoľko ročne, ale väčšie znalosti o vtáčích taxónoch už známych pre vedu a o ich vzájomnej príbuznosti, predovšetkým na základe rozborov DNA, čím dochádza k ich vzájomnému štiepeniu, spájaniu či presúvaniu, hlavne na úrovni druhov a poddruhov. Čo sa týka poddruhov, ich počet kolíše v rozmedzí 20 000 až 23 000.",/link-whisper-test-site/sk/systematicke-clenenie-neornithes-pravych-vtakov-sa-neustale-menilo-a-aj-dnes-dochadza-na-zaklade-najnovsich-vedeckych-poznatkov-k-dalsim-zmenam-tu-pouzita-systematika-odraza-sucasne-poznanie-o-vzaj/,Post,"Uncategorized","Slovenčina","February 14, 2021",0,0,0
